date,reference,description,currency,amount,source,targets
2024-01-01,TX-0001,Consulting invoice,USD,3562.74,income:consulting,assets:checking
2024-01-02,TX-0002,Travel,EUR,594.89,assets:eur-savings,expenses:travel
2024-01-02,TX-0003,Utilities,USD,714.43,assets:checking,expenses:utilities
2024-01-02,TX-0004,Utilities,USD,350.50,assets:checking,expenses:utilities
2024-01-02,TX-0005,Office supplies,USD,1214.17,assets:checking,expenses:office
2024-01-03,TX-0006,Software subscription,EUR,188.10,assets:eur-savings,expenses:software
2024-01-03,TX-0007,Team meal,USD,136.68,assets:checking,expenses:meals:alice|expenses:meals:bob|expenses:meals:carol
2024-01-04,TX-0008,Travel,USD,1430.78,assets:checking,expenses:travel
2024-01-04,TX-0009,Office supplies,USD,31.37,assets:checking,expenses:office
2024-01-04,TX-0010,Software subscription,USD,897.65,assets:checking,expenses:software
2024-01-04,TX-0011,Marketing spend,USD,394.97,liabilities:card,expenses:marketing
2024-01-04,TX-0012,Marketing spend,USD,374.61,liabilities:card,expenses:marketing
2024-01-04,TX-0013,Office supplies,USD,495.66,liabilities:card,expenses:office
2024-01-05,TX-0014,Software subscription,USD,646.46,liabilities:card,expenses:software
2024-01-05,TX-0015,Shipping,USD,379.43,assets:checking,expenses:shipping
2024-01-05,TX-0016,Utilities,USD,194.28,liabilities:card,expenses:utilities
2024-01-05,TX-0017,Software subscription,USD,1278.69,assets:checking,expenses:software
2024-01-06,TX-0018,Shipping,USD,1155.26,assets:checking,expenses:shipping
2024-01-06,TX-0019,Training,USD,294.15,liabilities:card,expenses:training
2024-01-07,TX-0020,Shared cost allocation,USD,545.47,assets:checking,expenses:travel@4|expenses:marketing@3
2024-01-07,TX-0021,Team meal,USD,363.08,assets:checking,expenses:meals:alice|expenses:meals:dan|expenses:meals:bob|expenses:meals:carol
2024-01-07,TX-0022,Consulting invoice,USD,3025.73,income:consulting,assets:checking
2024-01-07,TX-0023,Card payment,USD,451.49,assets:checking,liabilities:card
2024-01-08,TX-0024,Software subscription,USD,345.41,liabilities:card,expenses:software
2024-01-08,TX-0025,Marketing spend,USD,872.56,assets:checking,expenses:marketing
2024-01-08,TX-0026,Team meal,USD,231.05,assets:checking,expenses:meals:bob|expenses:meals:dan
2024-01-08,TX-0027,Card payment,USD,689.73,assets:checking,liabilities:card
2024-01-09,TX-0028,Team meal,USD,49.69,assets:checking,expenses:meals:carol|expenses:meals:bob|expenses:meals:dan
2024-01-09,TX-0029,Training,USD,957.82,assets:checking,expenses:training
2024-01-09,TX-0030,Shared cost allocation,USD,522.12,assets:checking,expenses:marketing@2|expenses:shipping@1
2024-01-10,TX-0031,Card payment,USD,1297.02,assets:checking,liabilities:card
2024-01-10,TX-0032,Consulting invoice,USD,4839.25,income:consulting,assets:checking
2024-01-10,TX-0033,Team meal,USD,45.49,assets:checking,expenses:meals:carol|expenses:meals:dan
2024-01-10,TX-0034,Office supplies,EUR,189.50,assets:eur-savings,expenses:office
2024-01-10,TX-0035,Shared cost allocation,USD,2749.62,assets:checking,expenses:software@3|expenses:shipping@1
2024-01-11,TX-0036,Shared cost allocation,USD,370.80,assets:checking,expenses:office@2|expenses:training@1
2024-01-11,TX-0037,Shipping,EUR,526.86,assets:eur-savings,expenses:shipping
2024-01-11,TX-0038,Training,USD,911.98,assets:checking,expenses:training
2024-01-12,TX-0039,Software subscription,USD,1443.92,assets:checking,expenses:software
2024-01-13,TX-0040,Software subscription,USD,881.75,assets:checking,expenses:software
2024-01-13,TX-0041,Team meal,USD,225.85,assets:checking,expenses:meals:dan|expenses:meals:bob|expenses:meals:alice
2024-01-13,TX-0042,Consulting invoice,USD,3037.86,income:consulting,assets:checking
2024-01-13,TX-0043,Shipping,USD,785.96,assets:checking,expenses:shipping
2024-01-13,TX-0044,Shipping,USD,1165.76,assets:checking,expenses:shipping
2024-01-13,TX-0045,Marketing spend,USD,85.02,assets:checking,expenses:marketing
2024-01-14,TX-0046,Marketing spend,USD,222.62,liabilities:card,expenses:marketing
2024-01-14,TX-0047,Utilities,USD,1487.43,assets:checking,expenses:utilities
2024-01-14,TX-0048,Hardware,USD,950.35,assets:checking,expenses:hardware
2024-01-14,TX-0049,Salary,USD,2049.91,income:salary,assets:checking
2024-01-15,TX-0050,Hardware,USD,1309.07,assets:checking,expenses:hardware
2024-01-16,TX-0051,Software subscription,EUR,894.52,assets:eur-savings,expenses:software@1|expenses:training@2
2024-01-16,TX-0052,Travel,EUR,295.57,assets:eur-savings,expenses:travel
2024-01-16,TX-0053,Shipping,USD,775.00,assets:checking,expenses:shipping
2024-01-17,TX-0054,Travel,USD,1460.99,assets:checking,expenses:travel
2024-01-17,TX-0055,Team meal,USD,369.96,assets:checking,expenses:meals:dan|expenses:meals:bob|expenses:meals:alice
2024-01-18,TX-0056,Software subscription,USD,907.38,assets:checking,expenses:software
2024-01-18,TX-0057,Shared cost allocation,USD,1833.15,assets:checking,expenses:office@4|expenses:utilities@3
2024-01-18,TX-0058,Software subscription,USD,80.02,liabilities:card,expenses:software
2024-01-18,TX-0059,Marketing spend,EUR,418.84,assets:eur-savings,expenses:marketing@2|expenses:software@3
2024-01-18,TX-0060,Travel,USD,126.41,assets:checking,expenses:travel
2024-01-19,TX-0061,Hardware,USD,1030.84,assets:checking,expenses:hardware
2024-01-19,TX-0062,Team meal,USD,121.42,assets:checking,expenses:meals:dan|expenses:meals:alice|expenses:meals:carol
2024-01-19,TX-0063,Shared cost allocation,USD,458.17,assets:checking,expenses:office@3|expenses:marketing@2
2024-01-19,TX-0064,Training,USD,1199.76,assets:checking,expenses:training
2024-01-19,TX-0065,Utilities,USD,703.94,assets:checking,expenses:utilities
2024-01-20,TX-0066,Shared cost allocation,USD,1792.36,assets:checking,expenses:shipping@2|expenses:marketing@4
2024-01-20,TX-0067,Shared cost allocation,USD,2625.19,assets:checking,expenses:office@4|expenses:shipping@4
2024-01-20,TX-0068,Software subscription,USD,1144.61,assets:checking,expenses:software
2024-01-20,TX-0069,Consulting invoice,USD,2561.73,income:consulting,assets:checking
2024-01-21,TX-0070,Office supplies,USD,44.49,assets:checking,expenses:office
2024-01-21,TX-0071,Hardware,USD,177.63,assets:checking,expenses:hardware
2024-01-21,TX-0072,Card payment,USD,2369.39,assets:checking,liabilities:card
2024-01-21,TX-0073,Utilities,USD,1472.72,assets:checking,expenses:utilities
2024-01-21,TX-0074,Shared cost allocation,USD,2855.43,assets:checking,expenses:utilities@3|expenses:office@2
2024-01-22,TX-0075,Training,USD,145.77,assets:checking,expenses:training
2024-01-22,TX-0076,Shipping,EUR,623.51,assets:eur-savings,expenses:shipping@1|expenses:travel@2
2024-01-22,TX-0077,Team meal,USD,292.93,assets:checking,expenses:meals:bob|expenses:meals:dan
2024-01-22,TX-0078,Card payment,USD,1279.88,assets:checking,liabilities:card
2024-01-22,TX-0079,Team meal,USD,363.48,assets:checking,expenses:meals:carol|expenses:meals:dan|expenses:meals:bob|expenses:meals:alice
2024-01-22,TX-0080,Shared cost allocation,USD,292.49,assets:checking,expenses:hardware@4|expenses:software@3
2024-01-22,TX-0081,Office supplies,EUR,892.85,assets:eur-savings,expenses:office
2024-01-23,TX-0082,Hardware,EUR,293.66,assets:eur-savings,expenses:hardware
2024-01-23,TX-0083,Software subscription,USD,1464.54,assets:checking,expenses:software
2024-01-23,TX-0084,Card payment,USD,1121.59,assets:checking,liabilities:card
2024-01-24,TX-0085,Travel,EUR,702.19,assets:eur-savings,expenses:travel@1|expenses:marketing@1
2024-01-24,TX-0086,Utilities,USD,131.14,assets:checking,expenses:utilities
2024-01-24,TX-0087,Marketing spend,USD,1288.35,assets:checking,expenses:marketing
2024-01-24,TX-0088,Utilities,USD,470.08,assets:checking,expenses:utilities
2024-01-24,TX-0089,Salary,USD,6612.14,income:salary,assets:checking
2024-01-24,TX-0090,Shared cost allocation,USD,1836.79,assets:checking,expenses:hardware@4|expenses:shipping@3
2024-01-25,TX-0091,Shared cost allocation,USD,1238.78,assets:checking,expenses:training@1|expenses:travel@4
2024-01-25,TX-0092,Training,USD,1147.16,assets:checking,expenses:training
2024-01-26,TX-0093,Team meal,USD,350.17,assets:checking,expenses:meals:dan|expenses:meals:carol|expenses:meals:bob
2024-01-26,TX-0094,Software subscription,USD,506.17,assets:checking,expenses:software
2024-01-26,TX-0095,Shipping,USD,694.88,liabilities:card,expenses:shipping
2024-01-26,TX-0096,Card payment,USD,2354.39,assets:checking,liabilities:card
2024-01-27,TX-0097,Shipping,USD,1236.17,assets:checking,expenses:shipping
2024-01-27,TX-0098,Hardware,USD,929.65,assets:checking,expenses:hardware
2024-01-27,TX-0099,Utilities,EUR,278.07,assets:eur-savings,expenses:utilities
2024-01-27,TX-0100,Card payment,USD,2153.10,assets:checking,liabilities:card
2024-01-28,TX-0101,Team meal,USD,219.56,assets:checking,expenses:meals:carol|expenses:meals:alice
2024-01-28,TX-0102,Hardware,USD,554.63,liabilities:card,expenses:hardware
2024-01-28,TX-0103,Shared cost allocation,USD,1778.52,assets:checking,expenses:training@4|expenses:shipping@2
2024-01-28,TX-0104,Consulting invoice,USD,6109.34,income:consulting,assets:checking
2024-01-28,TX-0105,Card payment,USD,2350.03,assets:checking,liabilities:card
2024-01-29,TX-0106,Team meal,USD,265.90,assets:checking,expenses:meals:bob|expenses:meals:carol|expenses:meals:dan|expenses:meals:alice
2024-01-29,TX-0107,Salary,USD,7826.52,income:salary,assets:checking
2024-01-29,TX-0108,Software subscription,USD,1473.15,assets:checking,expenses:software
2024-01-30,TX-0109,Shared cost allocation,USD,1990.64,assets:checking,expenses:travel@2|expenses:training@2
2024-01-30,TX-0110,Training,USD,436.08,liabilities:card,expenses:training
2024-01-30,TX-0111,Software subscription,EUR,438.99,assets:eur-savings,expenses:software@2|expenses:shipping@1
2024-01-30,TX-0112,Consulting invoice,USD,7907.07,income:consulting,assets:checking
2024-01-31,TX-0113,Training,USD,212.71,assets:checking,expenses:training
2024-01-31,TX-0114,Team meal,USD,265.19,assets:checking,expenses:meals:carol|expenses:meals:bob|expenses:meals:alice|expenses:meals:dan
2024-01-31,TX-0115,Training,USD,1495.50,assets:checking,expenses:training
2024-01-31,TX-0116,Team meal,USD,107.52,assets:checking,expenses:meals:alice|expenses:meals:dan|expenses:meals:bob|expenses:meals:carol
2024-01-31,TX-0117,Utilities,USD,229.16,assets:checking,expenses:utilities
2024-02-01,TX-0118,Consulting invoice,USD,6386.99,income:consulting,assets:checking
2024-02-01,TX-0119,Team meal,USD,114.16,assets:checking,expenses:meals:carol|expenses:meals:dan|expenses:meals:bob|expenses:meals:alice
2024-02-01,TX-0120,Training,USD,1383.29,assets:checking,expenses:training
2024-02-01,TX-0121,Marketing spend,USD,1416.34,assets:checking,expenses:marketing
2024-02-01,TX-0122,Team meal,USD,289.12,assets:checking,expenses:meals:carol|expenses:meals:dan|expenses:meals:alice|expenses:meals:bob
2024-02-01,TX-0123,Hardware,EUR,151.74,assets:eur-savings,expenses:hardware
2024-02-01,TX-0124,Training,USD,1304.63,assets:checking,expenses:training
2024-02-02,TX-0125,Shipping,USD,595.25,assets:checking,expenses:shipping
2024-02-02,TX-0126,Utilities,USD,630.00,assets:checking,expenses:utilities
2024-02-02,TX-0127,Office supplies,USD,403.27,assets:checking,expenses:office
2024-02-02,TX-0128,Software subscription,USD,914.93,assets:checking,expenses:software
2024-02-02,TX-0129,Training,USD,940.75,assets:checking,expenses:training
2024-02-03,TX-0130,Travel,EUR,348.50,assets:eur-savings,expenses:travel@2|expenses:software@1
2024-02-03,TX-0131,Training,USD,149.24,liabilities:card,expenses:training
2024-02-03,TX-0132,Utilities,EUR,535.31,assets:eur-savings,expenses:utilities
2024-02-03,TX-0133,Software subscription,USD,783.07,assets:checking,expenses:software
2024-02-03,TX-0134,Consulting invoice,USD,6237.82,income:consulting,assets:checking
2024-02-04,TX-0135,Office supplies,USD,546.10,assets:checking,expenses:office
2024-02-04,TX-0136,Travel,USD,76.94,assets:checking,expenses:travel
2024-02-04,TX-0137,Travel,USD,1026.63,assets:checking,expenses:travel
2024-02-04,TX-0138,Office supplies,USD,767.27,assets:checking,expenses:office
2024-02-04,TX-0139,Software subscription,USD,169.71,liabilities:card,expenses:software
2024-02-04,TX-0140,Hardware,USD,1487.59,assets:checking,expenses:hardware
